gid,estado,cidade,via,hnum,nsvia,latitude,longitude,postcode
765,Aguascalientes,Aguascalientes,CALLE TABACHÍN,126,LAS ARBOLEDAS,21.898960506889846,-102.30404470346853,20020
766,Aguascalientes,Aguascalientes,CALLE TABACHÍN,124,LAS ARBOLEDAS,21.898848715558817,-102.30400885866689,20020
767,Aguascalientes,Aguascalientes,CALLE TABACHÍN,122,LAS ARBOLEDAS,21.898722430814104,-102.3039683667667,20020
768,Aguascalientes,Aguascalientes,CALLE TABACHÍN,120,LAS ARBOLEDAS,21.89860844145374,-102.30393181732153,20020
769,Aguascalientes,Aguascalientes,CALLE TABACHÍN,116,LAS ARBOLEDAS,21.898510730980977,-102.30390048757464,20020
770,Aguascalientes,Aguascalientes,CALLE TABACHÍN,110,LAS ARBOLEDAS,21.89817470429177,-102.30379274481143,20020
771,Aguascalientes,Aguascalientes,CALLE TABACHÍN,108,LAS ARBOLEDAS,21.89809938656646,-102.30376859519869,20020
772,Aguascalientes,Aguascalientes,AVENIDA CONVENCIÓN 1914 NORTE,SN,VILLAS DE LA UNIVERSIDAD,21.89759271846388,-102.30409399505587,20029
773,Aguascalientes,Aguascalientes,PRIVADA PIRACANTO,700,LAS ARBOLEDAS,21.899162882332096,-102.30449862092436,20029
774,Aguascalientes,Aguascalientes,PRIVADA PIRACANTO,700A,LAS ARBOLEDAS,21.899070431953636,-102.30446968853867,20029
775,Aguascalientes,Aguascalientes,PRIVADA PIRACANTO,702,LAS ARBOLEDAS,21.89897129947488,-102.30443866503202,20029
776,Aguascalientes,Aguascalientes,PRIVADA PIRACANTO,704,LAS ARBOLEDAS,21.898916072519917,-102.30442138177818,20029
777,Aguascalientes,Aguascalientes,PRIVADA PIRACANTO,706,LAS ARBOLEDAS,21.89883244847335,-102.30439521169332,20029
778,Aguascalientes,Aguascalientes,PRIVADA PIRACANTO,708,LAS ARBOLEDAS,21.898739998086857,-102.30436627945048,20029
779,Aguascalientes,Aguascalientes,PRIVADA PIRACANTO,712,LAS ARBOLEDAS,21.898576523794155,-102.30431512045689,20020
780,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,105B,VILLAS DE LA UNIVERSIDAD,21.898596286135795,-102.30497980406614,20029
781,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,101,VILLAS DE LA UNIVERSIDAD,21.89863490919041,-102.30484271215198,20029
782,Aguascalientes,Aguascalientes,AVENIDA UNIVERSIDAD,103,VILLAS DE LA UNIVERSIDAD,21.89801800202653,-102.30490789187535,20029
783,Aguascalientes,Aguascalientes,AVENIDA UNIVERSIDAD,105,VILLAS DE LA UNIVERSIDAD,21.898451325256076,-102.30511342680236,20029
784,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,1811A,VILLAS DE LA UNIVERSIDAD,21.89902888999313,-102.30523996478013,20029
785,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,2011,VILLAS DE LA UNIVERSIDAD,21.899108795408132,-102.30495275254927,20029
786,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,2009,VILLAS DE LA UNIVERSIDAD,21.899129766709905,-102.30487737287284,20029
